Finish Preparing Protein: 1.4735708236694336
Finish Preparing Protein: 1.5035653114318848
Finish Preparing Protein: 1.4585015773773193
Finish Preparing Protein: 1.9640092849731445
Finish Preparing Protein: 1.4643833637237549
Finish Preparing Protein: 2.004638433456421
Finish Preparing Protein: 1.7992234230041504
Finish Preparing Protein: 1.6481008529663086
Finish Preparing Protein: 1.9259772300720215
Finish Preparing Protein: 2.2993757724761963
Finish Preparing Protein: 2.6011605262756348
Finish Preparing Protein: 3.5209853649139404
Finish Preparing Protein: 1.7129786014556885
Finish Preparing Protein: 1.4265844821929932
Finish Preparing Protein: 1.5531480312347412
Finish Preparing Protein: 1.4185750484466553
Finish Preparing Protein: 2.305419445037842
Finish Preparing Protein: 2.31697416305542
Finish Preparing Protein: 1.5179286003112793
Finish Preparing Protein: 2.0698211193084717
Finish Preparing Protein: 2.965461254119873
Finish Preparing Protein: 2.131375551223755
Finish Preparing Protein: 2.50329852104187
Finish Preparing Protein: 2.621433734893799
Finish Preparing Protein: 2.651059865951538
Finish Preparing Protein: 2.7678050994873047
Finish Preparing Protein: 2.311861276626587
Finish Preparing Protein: 2.9821457862854004
Finish Preparing Protein: 2.830423593521118
Finish Preparing Protein: 3.2292819023132324
Finish Preparing Rotamer Candidates: 66.04839563369751
Finish Preparing Rotamer Candidates: 72.58819770812988
Finish Preparing Residue Candidates: 117.82380223274231
Finish Preparing Rotamer Candidates: 108.05797600746155
Finish Preparing Rotamer Candidates: 128.64875507354736
Finish Preparing Rotamer Candidates: 133.5737316608429
Finish Preparing Residue Candidates: 129.9532082080841
Finish Preparing Rotamer Candidates: 130.37736582756042
Finish Preparing Rotamer Candidates: 151.91271877288818
Finish Preparing Rotamer Candidates: 158.0892777442932
Finish Preparing Rotamer Candidates: 159.71146726608276
Finish Preparing Rotamer Candidates: 155.0130124092102
Finish Preparing Rotamer Candidates: 169.78843474388123
Finish Preparing Rotamer Candidates: 187.36322474479675
Finish Preparing Rotamer Candidates: 206.21160173416138
Finish Preparing Rotamer Candidates: 216.97260403633118
Finish Preparing Residue Candidates: 211.17431831359863
Finish Preparing Residue Candidates: 205.7391436100006
Finish Preparing Rotamer Candidates: 213.86274790763855
Finish Preparing Residue Candidates: 227.40862131118774
Finish Preparing Rotamer Candidates: 220.43469667434692
Finish Preparing Residue Candidates: 248.17429184913635
Finish Preparing Residue Candidates: 252.68550515174866
Finish Preparing Rotamer Candidates: 253.97820258140564
Finish Preparing Rotamer Candidates: 249.64352440834045
Finish Preparing Residue Candidates: 249.99912571907043
Finish Calculating Pair Energy for Cutoff 1: 255.53147172927856
Finish Preparing Residue Candidates: 265.6853132247925
Finish Preparing Residue Candidates: 262.57997274398804
Current temperature: 5
Finish Preparing Rotamer Candidates: 257.12145709991455
Finish Preparing Residue Candidates: 271.724641084671
Finish Preparing Rotamer Candidates: 291.2344467639923
Finish Preparing Rotamer Candidates: 303.7580473423004
Finish Preparing Residue Candidates: 314.142698764801
Finish Preparing Rotamer Candidates: 305.448379278183
Finish Preparing Residue Candidates: 329.74539256095886
Finish Preparing Residue Candidates: 350.74387526512146
Finish Preparing Residue Candidates: 371.086678981781
Finish Preparing Residue Candidates: 362.32408595085144
Finish Preparing Rotamer Candidates: 363.42753553390503
Finish Preparing Residue Candidates: 386.01834654808044
Finish Preparing Rotamer Candidates: 397.59646582603455
Finish Preparing Residue Candidates: 420.09746766090393
Finish Preparing Residue Candidates: 438.5410442352295
Finish Preparing Residue Candidates: 457.74198842048645
Finish Preparing Rotamer Candidates: 476.82209396362305
