name_a,name_b,identity,len_a,len_b
6B8X_single_001_density_input.pdb,1a5yA00_8.pdb,0.517,298,283
6B8X_single_001_density_input.pdb,1a5yA00_16.pdb,0.492,298,283
6B8X_single_001_density_input.pdb,1a5yA00_6.pdb,0.508,298,283
6B8X_single_001_density_input.pdb,1a5yA00_25.pdb,0.491,298,283
6B8X_single_001_density_input.pdb,1a5yA00_9.pdb,0.498,298,283
6B8X_single_001_density_input.pdb,1a5yA00_31.pdb,0.473,298,283
6B8X_single_001_density_input.pdb,1a5yA00_15.pdb,0.469,298,283
6B8X_single_001_density_input.pdb,1a5yA00_29.pdb,0.487,298,283
6B8X_single_001_density_input.pdb,1a5yA00_5.pdb,0.485,298,283
6B8X_single_001_density_input.pdb,1a5yA00_3.pdb,0.478,298,283
6B8X_single_001_density_input.pdb,1a5yA00_10.pdb,0.498,298,283
6B8X_single_001_density_input.pdb,1a5yA00_1.pdb,0.469,298,283
6B8X_single_001_density_input.pdb,1a5yA00_27.pdb,0.459,298,283
6B8X_single_001_density_input.pdb,1a5yA00_4.pdb,0.489,298,283
6B8X_single_001_density_input.pdb,1a5yA00_30.pdb,0.483,298,283
6B8X_single_001_density_input.pdb,1a5yA00_28.pdb,0.468,298,283
6B8X_single_001_density_input.pdb,1a5yA00_18.pdb,0.473,298,283
6B8X_single_001_density_input.pdb,1a5yA00_19.pdb,0.485,298,283
6B8X_single_001_density_input.pdb,1a5yA00_20.pdb,0.473,298,283
6B8X_single_001_density_input.pdb,1a5yA00_14.pdb,0.467,298,283
6B8X_single_001_density_input.pdb,1a5yA00_2.pdb,0.487,298,283
6B8X_single_001_density_input.pdb,1a5yA00_17.pdb,0.496,298,283
6B8X_single_001_density_input.pdb,1a5yA00_24.pdb,0.466,298,283
6B8X_single_001_density_input.pdb,1a5yA00_26.pdb,0.492,298,283
6B8X_single_001_density_input.pdb,1a5yA00_0.pdb,0.469,298,283
6B8X_single_001_density_input.pdb,1a5yA00_11.pdb,0.481,298,283
6B8X_single_001_density_input.pdb,1a5yA00_22.pdb,0.462,298,283
6B8X_single_001_density_input.pdb,1a5yA00_12.pdb,0.476,298,283
6B8X_single_001_density_input.pdb,1a5yA00_21.pdb,0.476,298,283
