name_a,name_b,identity,len_a,len_b
2i6hA02.pdb,2I6H_single_001_density_input.pdb,1.0,96,174
3pebA00.pdb,3I7M_single_001_density_input.pdb,0.414,127,130
2ccyA00.pdb,2XLW_single_001_density_input.pdb,0.333,127,124
2ccyA00.pdb,2YL0_single_001_density_input.pdb,0.333,127,126
3a7kB00.pdb,7Z0E_single_001_density_input.pdb,0.313,258,229
5tc6A00.pdb,3T94_single_001_density_input.pdb,0.515,273,270
3efeC00.pdb,8VPW_single_001_density_input.pdb,0.246,206,226
3efeC00.pdb,8VQ1_single_001_density_input.pdb,0.246,206,226
3efeC00.pdb,6NI5_single_001_density_input.pdb,0.246,206,227
3efeC00.pdb,6NI6_single_001_density_input.pdb,0.246,206,227
1xvwA00.pdb,5IMV_single_001_density_input.pdb,0.274,157,157
2i6hA01.pdb,2I6H_single_001_density_input.pdb,1.0,79,174
3zvqA00.pdb,7AVG_single_001_density_input.pdb,1.0,70,129
3zvqA00.pdb,7P6M_single_001_density_input.pdb,1.0,70,130
1ysmA01.pdb,2A26_single_001_density_input.pdb,0.854,48,48
1bhaA00.pdb,7Z0E_single_001_density_input.pdb,0.969,67,229
3kebB00.pdb,3HVV_single_001_density_input.pdb,0.254,170,167
1s05A00.pdb,2YL0_single_001_density_input.pdb,0.301,129,126
2acfB00.pdb,5SOP_single_001_density_input.pdb,0.742,173,167
2acfB00.pdb,7FRD_single_001_density_input.pdb,0.742,173,167
1dbtA00.pdb,6YVM_single_001_density_input.pdb,0.229,237,254
1g4wR02.pdb,6B8X_single_001_density_input.pdb,0.342,221,298
3vrcA00.pdb,2YL0_single_001_density_input.pdb,0.307,130,126
3vrcA00.pdb,2XLW_single_001_density_input.pdb,0.299,130,124
6g80B01.pdb,2I6H_single_001_density_input.pdb,0.461,221,174
3s4oA00.pdb,6B8X_single_001_density_input.pdb,0.287,161,298
5fszA00.pdb,5SOP_single_001_density_input.pdb,0.325,245,167
5fszA00.pdb,7FRD_single_001_density_input.pdb,0.325,245,167
1prxA01.pdb,5IMV_single_001_density_input.pdb,0.413,150,157
5ax0A00.pdb,7Z0E_single_001_density_input.pdb,0.308,234,229
132lA00.pdb,7AVG_single_001_density_input.pdb,0.968,124,129
132lA00.pdb,7P6M_single_001_density_input.pdb,0.968,124,130
6csnA01.pdb,7Z0E_single_001_density_input.pdb,0.246,271,229
1a5yA00.pdb,6B8X_single_001_density_input.pdb,0.978,283,298
1bctA00.pdb,7Z0E_single_001_density_input.pdb,0.985,69,229
5fj8A03.pdb,2P97_single_001_density_input.pdb,0.414,126,197
7cj3A01.pdb,7Z0E_single_001_density_input.pdb,0.262,258,229
4klyB00.pdb,7Z0E_single_001_density_input.pdb,0.265,221,229
6ln0A01.pdb,5SOP_single_001_density_input.pdb,0.312,162,167
6ln0A01.pdb,7FRD_single_001_density_input.pdb,0.312,162,167
3ewnA00.pdb,6NI5_single_001_density_input.pdb,0.5,228,227
3ewnA00.pdb,8VPW_single_001_density_input.pdb,0.494,228,226
3ewnA00.pdb,8VQ1_single_001_density_input.pdb,0.494,228,226
3ewnA00.pdb,6NI6_single_001_density_input.pdb,0.494,228,227
